"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"26",122208,"Tsang Yi Ming","M",22,176,64,"Hong Kong","HKG","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 100 metres Butterfly",NA
"27",125387,"tefan Vasilache","M",25,191,79,"Romania","ROU","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's High Jump",NA
"28",38704,"Vanessa Milagros Garca Vega","F",20,173,75,"Puerto Rico","PUR","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Women's 50 metres Freestyle",NA
"29",85368,"Brd Magnus Nesteng","M",21,183,80,"Norway","NOR","2000 Summer",2000,"Summer","Sydney","Archery","Archery Men's Team",NA
"30",123951,"Georges Valentin","M",20,NA,NA,"France","FRA","1912 Summer",1912,"Summer","Stockholm","Cycling","Cycling Men's Road Race, Team",NA
"31",135520,"Julia Zwehl","F",28,167,60,"Germany","GER","2004 Summer",2004,"Summer","Athina","Hockey","Hockey Women's Hockey","Gold"
"32",53889,"Maria Lucrcia Jardim","F",25,159,49,"Portugal","POR","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's 100 metres",NA
"33",30331,"Gilbert Duchateau","M",36,187,86,"Belgium","BEL","1984 Summer",1984,"Summer","Los Angeles","Shooting","Shooting Mixed Trap",NA
"34",97679,"Ingrid Puusta","F",25,163,57,"Estonia","EST","2016 Summer",2016,"Summer","Rio de Janeiro","Sailing","Sailing Women's Windsurfer",NA
"35",61227,"Hermann Klien","M",27,NA,NA,"Austria","AUT","1960 Summer",1960,"Summer","Roma","Gymnastics","Gymnastics Men's Rings",NA
"36",66219,"Sophie Lamon","F",15,173,53,"Switzerland","SUI","2000 Summer",2000,"Summer","Sydney","Fencing","Fencing Women's epee, Team","Silver"
"37",105726,"Constantino Federico Saragoza","M",27,NA,NA,"Netherlands Antilles","AHO","1992 Summer",1992,"Summer","Barcelona","Sailing","Sailing Men's Windsurfer",NA
"38",25267,"Jacek Andrzej Daniluk","M",18,174,71,"Poland","POL","1980 Summer",1980,"Summer","Moskva","Equestrianism","Equestrianism Mixed Three-Day Event, Team",NA
"39",5517,"Erla sgeirsdttir","F",20,174,NA,"Iceland","ISL","2014 Winter",2014,"Winter","Sochi","Alpine Skiing","Alpine Skiing Women's Slalom",NA
"40",2333,"Richard ""Rick"" Albert","M",24,183,70,"Canada","CAN","1988 Summer",1988,"Summer","Seoul","Hockey","Hockey Men's Hockey",NA
"41",101272,"Ernestine Lonie Ernesta Robert-Mrignac","F",74,NA,NA,"France","FRA","1924 Summer",1924,"Summer","Paris","Art Competitions","Art Competitions Mixed Sculpturing",NA
"42",125512,"Konstantin Konstantinovich Vaterkampf","M",NA,NA,NA,"Russia","RUS","1912 Summer",1912,"Summer","Stockholm","Fencing","Fencing Men's Sabre, Individual",NA
"43",113700,"Saltirka Parvanova Spasova-Tarpova","F",18,157,51,"Bulgaria","BUL","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Women's Individual All-Around",NA
"44",12409,"Dennis Frederick Blundell","M",26,NA,NA,"Great Britain","GBR","1948 Winter",1948,"Winter","Sankt Moritz","Speed Skating","Speed Skating Men's 500 metres",NA
"45",60435,"Arthur James ""Arturo"" Kinch Barton","M",31,NA,NA,"Costa Rica","CRC","1988 Winter",1988,"Winter","Calgary","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"46",50084,"Gbor Horvth","M",32,192,90,"Hungary","HUN","2004 Summer",2004,"Summer","Athina","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Gold"
"47",92517,"John Bartling Pearson, Jr.","M",26,178,NA,"United States","USA","1928 Summer",1928,"Summer","Amsterdam","Gymnastics","Gymnastics Men's Parallel Bars",NA
"48",24076,"Rajmund Csnyi","M",28,172,68,"Hungary","HUN","1964 Summer",1964,"Summer","Tokyo","Gymnastics","Gymnastics Men's Pommelled Horse",NA
"49",18448,"Ellie Madison Carpenter","F",16,165,59,"Australia","AUS","2016 Summer",2016,"Summer","Rio de Janeiro","Football","Football Women's Football",NA
"50",43059,"Ernesto Grobet Palacios","M",23,NA,NA,"Mexico","MEX","1932 Summer",1932,"Summer","Los Angeles","Cycling","Cycling Men's 1,000 metres Time Trial",NA
"51",99427,"Osvald Rechke","M",28,NA,NA,"Russia","RUS","1912 Summer",1912,"Summer","Stockholm","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres",NA
"52",29996,"Dmitry Nikolayevich Drevin","M",18,170,59,"Russia","RUS","2000 Summer",2000,"Summer","Sydney","Gymnastics","Gymnastics Men's Floor Exercise",NA
"53",89300,"Laura Oprea","F",22,186,75,"Romania","ROU","2016 Summer",2016,"Summer","Rio de Janeiro","Rowing","Rowing Women's Coxed Eights","Bronze"
"54",30329,"Mary Ann DuChai","F",20,174,59,"United States","USA","1960 Summer",1960,"Summer","Roma","Canoeing","Canoeing Women's Kayak Doubles, 500 metres",NA
"55",50107,"Emanuel Horvatiek","M",25,182,85,"Croatia","CRO","2004 Summer",2004,"Summer","Athina","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",NA
"56",132147,"Yuko Yaegashi-Ota","F",18,153,54,"Japan","JPN","1976 Winter",1976,"Winter","Innsbruck","Speed Skating","Speed Skating Women's 1,500 metres",NA
"57",35765,"Othilie ""Tilly"" Fleischer (-Heuser, -Grote)","F",20,168,66,"Germany","GER","1932 Summer",1932,"Summer","Los Angeles","Athletics","Athletics Women's Javelin Throw","Bronze"
"58",11078,"Lawrence Butler Bradford ""Toby"" Betts","M",19,NA,NA,"South Africa","RSA","1924 Summer",1924,"Summer","Paris","Athletics","Athletics Men's 400 metres",NA
"59",94710,"Johannes Gerhardus Maria ""John"" Pierik","M",34,182,86,"Netherlands","NED","1984 Summer",1984,"Summer","Los Angeles","Shooting","Shooting Mixed Skeet",NA
"60",28710,"Mouhamedou ""Mouhamed"" Diop","M",24,NA,NA,"Senegal","SEN","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 100 metres Freestyle",NA
"61",102432,"Jilleanne Rookard","F",27,160,59,"United States","USA","2010 Winter",2010,"Winter","Vancouver","Speed Skating","Speed Skating Women's 5,000 metres",NA
"62",20696,"Alberto Henri Chiesa","M",NA,NA,NA,"Switzerland","SUI","1920 Summer",1920,"Summer","Antwerpen","Tennis","Tennis Men's Singles",NA
"63",18279,"Sean William Carlin","M",28,198,110,"Australia","AUS","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Men's Hammer Throw",NA
"64",88050,"Sueo Oe","M",22,172,60,"Japan","JPN","1936 Summer",1936,"Summer","Berlin","Athletics","Athletics Men's Pole Vault","Bronze"
"65",86043,"Stine Nielsen","F",21,163,79,"Denmark","DEN","2012 Summer",2012,"Summer","London","Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
"66",46545,"Heikki Vihtori Hasu","M",21,176,68,"Finland","FIN","1948 Winter",1948,"Winter","Sankt Moritz","Cross Country Skiing","Cross Country Skiing Men's 18 kilometres",NA
"67",50708,"Gnther Huber","M",28,177,89,"Italy-2","ITA","1994 Winter",1994,"Winter","Lillehammer","Bobsleigh","Bobsleigh Men's Four",NA
"68",9230,"Patrick Beckert","M",23,183,80,"Germany","GER","2014 Winter",2014,"Winter","Sochi","Speed Skating","Speed Skating Men's 1,500 metres",NA
"69",135293,"Natko Zrni-Dim","M",19,175,80,"Croatia","CRO","2006 Winter",2006,"Winter","Torino","Alpine Skiing","Alpine Skiing Men's Super G",NA
"70",4025,"Lyudmila Grudeva Andonova (Zhecheva-)","F",32,177,60,"Bulgaria","BUL","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Women's High Jump",NA
"71",62894,"Kiira Linda Katriina Korpi","F",17,166,58,"Finland","FIN","2006 Winter",2006,"Winter","Torino","Figure Skating","Figure Skating Women's Singles",NA
"72",40543,"Edmund Haydn Giraud","M",25,NA,NA,"Smyrna","FRA","1906 Summer",1906,"Summer","Athina","Football","Football Men's Football","Silver"
"73",36771,"Egon Johann Franke","M",28,178,70,"Poland","POL","1964 Summer",1964,"Summer","Tokyo","Fencing","Fencing Men's Foil, Individual","Gold"
"74",41220,"Mira Golub","F",18,171,60,"Russia","RUS","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Women's Combined",NA
"75",133453,"Yun Chang-Ho","M",25,170,68,"North Korea","PRK","1976 Summer",1976,"Summer","Montreal","Shooting","Shooting Mixed Rapid-Fire Pistol, 25 metres",NA
"76",14319,"Fiona Boyce","F",25,169,60,"Australia","AUS","2012 Summer",2012,"Summer","London","Hockey","Hockey Women's Hockey",NA
"77",116611,"Alfons Supersaxo","M",25,NA,NA,"Switzerland","SUI","1952 Winter",1952,"Winter","Oslo","Nordic Combined","Nordic Combined Men's Individual",NA
"78",63350,"Radomir Kovaevi","M",22,193,100,"Yugoslavia","YUG","1976 Summer",1976,"Summer","Montreal","Judo","Judo Men's Open Class",NA
"79",1902,"Bashir Ali Al-Fellah","M",NA,180,60,"Libya","LBA","1980 Summer",1980,"Summer","Moskva","Athletics","Athletics Men's 4 x 400 metres Relay",NA
"80",112895,"Jorge S. Soler","M",NA,NA,NA,"Argentina","ARG","1948 Summer",1948,"Summer","London","Gymnastics","Gymnastics Men's Pommelled Horse",NA
"81",89699,"Valda Rosemary Osborn","F",17,NA,NA,"Great Britain","GBR","1952 Winter",1952,"Winter","Oslo","Figure Skating","Figure Skating Women's Singles",NA
"82",34929,"Jos Ferraioli","M",20,180,77,"Puerto Rico","PUR","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Men's 200 metres Butterfly",NA
"83",106739,"Johanna Margrietha ""Rieta"" Schenk","F",47,NA,NA,"South Africa","RSA","1992 Summer",1992,"Summer","Barcelona","Archery","Archery Women's Individual",NA
"84",125433,"Andrey Nikolayevich Vasilyev","M",25,180,80,"Unified Team","EUN","1992 Summer",1992,"Summer","Barcelona","Shooting","Shooting Men's Running Target, 10 metres",NA
"85",33544,"Maryse wanj-pe (-Maury)","F",19,176,62,"France","FRA","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Women's High Jump",NA
"86",34723,"Patrick Ferland","M",23,180,74,"Switzerland","SUI","1988 Summer",1988,"Summer","Seoul","Swimming","Swimming Men's 100 metres Backstroke",NA
"87",130613,"Joanna Frances ""Jo"" Williams (-Eley)","F",20,171,64,"Great Britain","GBR","2002 Winter",2002,"Winter","Salt Lake City","Short Track Speed Skating","Short Track Speed Skating Women's 1,500 metres",NA
"88",95522,"John Michael Plumb","M",28,183,88,"United States","USA","1968 Summer",1968,"Summer","Mexico City","Equestrianism","Equestrianism Mixed Three-Day Event, Team","Silver"
"89",63226,"Emil Kotrba","M",36,NA,NA,"Czechoslovakia","TCH","1948 Summer",1948,"Summer","London","Art Competitions","Art Competitions Mixed Painting, Unknown Event",NA
"90",86206,"Bohdan Sergiyevych Nikishyn","M",28,188,85,"Ukraine","UKR","2008 Summer",2008,"Summer","Beijing","Fencing","Fencing Men's epee, Team",NA
"91",102039,"Franz Hermann Otto Rhr","M",20,193,81,"Germany","GER","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's 4 x 100 metres Relay",NA
"92",62518,"Mikul Konopka","M",25,193,110,"Slovakia","SVK","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's Shot Put",NA
"93",30713,"Thomas Dunstan","M",18,194,96,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Water Polo","Water Polo Men's Water Polo",NA
"94",95601,"Iouri Aleksandrovich Podladtchikov","M",21,184,76,"Switzerland","SUI","2010 Winter",2010,"Winter","Vancouver","Snowboarding","Snowboarding Men's Halfpipe",NA
"95",101155,"Mary Antoinette ""Toni"" Rivero","F",20,170,67,"Philippines","PHI","2008 Summer",2008,"Summer","Beijing","Taekwondo","Taekwondo Women's Welterweight",NA
"96",101451,"Jos de Jess Robinson Gonzlez","M",23,178,68,"Mexico","MEX","1968 Summer",1968,"Summer","Mexico City","Diving","Diving Men's Springboard",NA
"97",19905,"Richard Ian ""Ric"" Charlesworth","M",36,173,71,"Australia","AUS","1988 Summer",1988,"Summer","Seoul","Hockey","Hockey Men's Hockey",NA
"98",97573,"Sabina Mihaela Purdea","F",27,163,52,"Romania","ROU","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 10 kilometres Pursuit",NA
"99",93776,"Christin Petelski","F",18,170,57,"Canada","CAN","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 200 metres Breaststroke",NA
"100",98381,"Uwe Rahn","M",22,184,80,"West Germany","FRG","1984 Summer",1984,"Summer","Los Angeles","Football","Football Men's Football",NA
"101",394,"Irene Abel","F",19,160,48,"East Germany","GDR","1972 Summer",1972,"Summer","Munich","Gymnastics","Gymnastics Women's Floor Exercise",NA
"102",70317,"Hermann Lingnau","M",23,192,107,"Germany","GER","1960 Summer",1960,"Summer","Roma","Athletics","Athletics Men's Shot Put",NA
"103",81232,"Ella Molnr","F",NA,NA,NA,"Hungary","HUN","1924 Summer",1924,"Summer","Paris","Swimming","Swimming Women's 200 metres Breaststroke",NA
"104",3772,"Petter Andersen","M",32,172,70,"Norway","NOR","2006 Winter",2006,"Winter","Torino","Speed Skating","Speed Skating Men's 1,500 metres",NA
"105",49112,"Abigail Golda ""Abby"" Hoffman","F",29,175,57,"Canada","CAN","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Women's 800 metres",NA
"106",119590,"Alexandros Theofilakis","M",NA,NA,NA,"Greece","GRE","1920 Summer",1920,"Summer","Antwerpen","Shooting","Shooting Men's Military Pistol, Team","Silver"
"107",81185,"Thomas Mllenkamp","M",22,190,88,"West Germany","FRG","1984 Summer",1984,"Summer","Los Angeles","Rowing","Rowing Men's Coxless Pairs",NA
"108",78975,"Henri Mersch","M",30,170,114,"Luxembourg","LUX","1960 Summer",1960,"Summer","Roma","Weightlifting","Weightlifting Men's Heavyweight",NA
"109",125176,"Mria Vanya-Vadsz","F",30,166,55,"Hungary","HUN","1980 Summer",1980,"Summer","Moskva","Handball","Handball Women's Handball",NA
"110",2502,"Sandra Aleksejeva","F",21,164,62,"Latvia","LAT","2012 Summer",2012,"Summer","London","Cycling","Cycling Women's BMX",NA
"111",75352,"Jos Luis Marrero Hernndez","M",23,178,84,"Cuba","CUB","1980 Summer",1980,"Summer","Moskva","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",NA
"112",70670,"Liu Xuqing","F",27,166,60,"China","CHN","1996 Summer",1996,"Summer","Atlanta","Softball","Softball Women's Softball","Silver"
"113",121050,"Bruno Toniolli","M",32,176,67,"Italy","ITA","1976 Winter",1976,"Winter","Innsbruck","Speed Skating","Speed Skating Men's 1,000 metres",NA
"114",53293,"Irving Warren Jaffee","M",21,NA,NA,"United States","USA","1928 Winter",1928,"Winter","Sankt Moritz","Speed Skating","Speed Skating Men's 5,000 metres",NA
"115",66756,"Juan Larrea","M",25,173,69,"Argentina","ARG","1960 Summer",1960,"Summer","Roma","Fencing","Fencing Men's Sabre, Team",NA
"116",113744,"Ruth Sophia Spelmeyer","F",25,173,59,"Germany","GER","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 400 metres",NA
"117",55328,"Ann Elaine Johnson (-Howe)","F",18,175,64,"Great Britain","GBR","1952 Summer",1952,"Summer","Helsinki","Athletics","Athletics Women's 200 metres",NA
"118",105543,"Brune Felipe Claudino de Santana","M",26,183,90,"Brazil","BRA","2008 Summer",2008,"Summer","Beijing","Handball","Handball Men's Handball",NA
"119",88324,"Evangelos Oikonomakos","M",23,172,71,"Greece","GRE","1968 Summer",1968,"Summer","Mexico City","Boxing","Boxing Men's Welterweight",NA
"120",128095,"Dennis Gerald Walker","M",18,NA,NA,"Canada","CAN","1932 Summer",1932,"Summer","Los Angeles","Swimming","Swimming Men's 100 metres Backstroke",NA
"121",122844,"Katalin Tuschk","F",29,178,68,"Hungary","HUN","1988 Summer",1988,"Summer","Seoul","Fencing","Fencing Women's Foil, Team","Bronze"
"122",42893,"Oto Grigalka","M",27,192,110,"Soviet Union","URS","1952 Summer",1952,"Summer","Helsinki","Athletics","Athletics Men's Discus Throw",NA
"123",45836,"Christilot Hanson-Boylen","F",45,163,52,"Canada","CAN","1992 Summer",1992,"Summer","Barcelona","Equestrianism","Equestrianism Mixed Dressage, Individual",NA
"124",55923,"Jorge Jos ""Jorginho"" de Amorim Campos","M",24,174,68,"Brazil","BRA","1988 Summer",1988,"Summer","Seoul","Football","Football Men's Football","Silver"
"125",94858,"Alan ""Al"" Pilcher","M",22,180,70,"Canada","CAN","1992 Winter",1992,"Winter","Albertville","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",NA
"126",129476,"Abbey Weitzeil","F",19,178,68,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Silver"
"127",17383,"Maximiliano Jorge ""Max"" Caldas","M",31,180,92,"Argentina","ARG","2004 Summer",2004,"Summer","Athina","Hockey","Hockey Men's Hockey",NA
"128",94648,"Olena Mykhailivna Pidhrushna","F",23,176,65,"Ukraine","UKR","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 4 x 6 kilometres Relay",NA
"129",26466,"Henry Marie Joseph Frdric Expedite Millon de Montherlant","M",29,NA,NA,"France","FRA","1924 Summer",1924,"Summer","Paris","Art Competitions","Art Competitions Mixed Literature",NA
"130",94650,"Valeriy Vasylovych Pidluzhniy","M",20,175,68,"Soviet Union","URS","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Men's Long Jump",NA
"131",4,"Edgar Lindenau Aabye","M",34,NA,NA,"Denmark/Sweden","DEN","1900 Summer",1900,"Summer","Paris","Tug-Of-War","Tug-Of-War Men's Tug-Of-War","Gold"
"132",55325,"Anders Johnson","M",24,190,75,"United States","USA","2014 Winter",2014,"Winter","Sochi","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"133",108266,"Mirjana egrt","F",18,171,66,"Yugoslavia","YUG","1968 Summer",1968,"Summer","Mexico City","Swimming","Swimming Women's 100 metres Freestyle",NA
"134",103636,"Ernestine Jean Russell-Carter (-Weaver)","F",21,153,52,"Canada","CAN","1960 Summer",1960,"Summer","Roma","Gymnastics","Gymnastics Women's Uneven Bars",NA
"135",113044,"Hartmut Sommer","M",34,173,80,"East Germany","GDR","1968 Summer",1968,"Summer","Mexico City","Shooting","Shooting Mixed Free Rifle, Three Positions, 300 metres",NA
"136",132105,"Xu Zengcai","M",26,168,58,"China-2","CHN","1988 Summer",1988,"Summer","Seoul","Table Tennis","Table Tennis Men's Doubles",NA
"137",84857,"Olga Viktorovna Nazarova","F",24,164,53,"Belarus","BLR","2002 Winter",2002,"Winter","Salt Lake City","Biathlon","Biathlon Women's 4 x 7.5 kilometres Relay",NA
"138",86706,"Andrs Marcelo Nocioni Roux","M",24,201,102,"Argentina","ARG","2004 Summer",2004,"Summer","Athina","Basketball","Basketball Men's Basketball","Gold"
"139",84432,"Nam Sang-Ran","F",21,155,46,"South Korea","KOR","1988 Summer",1988,"Summer","Seoul","Rowing","Rowing Women's Coxed Fours",NA
"140",104620,"Pacifico Y. Salandanan","M",35,164,52,"Philippines","PHI","1964 Summer",1964,"Summer","Tokyo","Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
"141",70980,"Lockwood, Greene & Co.","M",NA,NA,NA,"United States","USA","1928 Summer",1928,"Summer","Amsterdam","Art Competitions","Art Competitions Mixed Architecture, Designs For Town Planning",NA
"142",14092,"Roger Maurice Bourbonnais","M",25,175,79,"Canada","CAN","1968 Winter",1968,"Winter","Grenoble","Ice Hockey","Ice Hockey Men's Ice Hockey","Bronze"
"143",50174,"Pierre Hostein","M",19,NA,NA,"France","FRA","1908 Summer",1908,"Summer","London","Cycling","Cycling Men's 100 kilometres",NA
"144",129599,"Daniel Wende","M",25,182,83,"Germany-2","GER","2010 Winter",2010,"Winter","Vancouver","Figure Skating","Figure Skating Mixed Pairs",NA
"145",87074,"D. Sean Nottage","M",19,188,77,"Bahamas","BAH","1984 Summer",1984,"Summer","Los Angeles","Swimming","Swimming Men's 100 metres Freestyle",NA
"146",133812,"Igor Valeryevich Zakurdayev","M",23,187,98,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Alpine Skiing","Alpine Skiing Men's Slalom",NA
"147",119216,"Kerri Michelle Tepper","F",21,180,65,"Australia","AUS","1988 Summer",1988,"Summer","Seoul","Table Tennis","Table Tennis Women's Doubles",NA
"148",26497,"Mrio de Lopez da Vasa Csar Alves de Noronha","M",39,NA,NA,"Portugal","POR","1924 Summer",1924,"Summer","Paris","Fencing","Fencing Men's epee, Team",NA
"149",39154,"Radu Gavrila","M",20,187,86,"Romania","ROU","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Men's Decathlon",NA
"150",81312,"Avard Moncur","M",21,193,87,"Bahamas","BAH","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's 4 x 400 metres Relay","Bronze"
"151",79202,"Ernst Meyer","M",NA,NA,NA,"Switzerland","SUI","1906 Summer",1906,"Summer","Athina","Cycling","Cycling Men's 20 kilometres",NA
"152",129376,"Andr Weingand","M",37,NA,NA,"France","FRA","1952 Summer",1952,"Summer","Helsinki","Gymnastics","Gymnastics Men's Pommelled Horse",NA
"153",131270,"Magorzata Wojtkowiak","F",26,169,65,"Poland","POL","2008 Summer",2008,"Summer","Beijing","Fencing","Fencing Women's Foil, Team",NA
"154",121645,"Trn Gia Thu","M",NA,NA,NA,"South Vietnam","VNM","1956 Summer",1956,"Summer","Melbourne","Cycling","Cycling Men's Road Race, Individual",NA
"155",3692,"Anne Nymark Andersen (-Rylandsholm)","F",23,168,56,"Norway","NOR","1996 Summer",1996,"Summer","Atlanta","Football","Football Women's Football","Bronze"
"156",130127,"Pernilla Christina Wiberg (-Bjerke)","F",21,161,68,"Sweden","SWE","1992 Winter",1992,"Winter","Albertville","Alpine Skiing","Alpine Skiing Women's Super G",NA
"157",11717,"Udo Birnbaum","M",27,172,65,"Austria","AUT","1964 Summer",1964,"Summer","Tokyo","Modern Pentathlon","Modern Pentathlon Men's Team",NA
"158",80453,"Rajko Miti","M",25,NA,NA,"Yugoslavia","YUG","1948 Summer",1948,"Summer","London","Football","Football Men's Football","Silver"
"159",32205,"Mohamed Gamil El-Zobair","M",NA,NA,NA,"Egypt","EGY","1928 Summer",1928,"Summer","Amsterdam","Football","Football Men's Football",NA
"160",5161,"Gary Armstrong","M",20,181,65,"Great Britain","GBR","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Men's 400 metres",NA
"161",89667,"Marcus Christopher O'Sullivan","M",22,175,60,"Ireland","IRL","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Men's 800 metres",NA
"162",36489,"Jean Fouconnier","M",NA,NA,NA,"France","FRA","1906 Summer",1906,"Summer","Athina","Shooting","Shooting Men's Trap, Double Shot, 14 metres",NA
"163",18535,"Pablo Abensaid Carrera Vzquez","M",30,182,93,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Shooting","Shooting Men's Free Pistol, 50 metres",NA
"164",122141,"Bernd Truschinski","M",27,190,90,"West Germany","FRG","1976 Summer",1976,"Summer","Montreal","Rowing","Rowing Men's Coxed Eights",NA
