"","Data.as.of","Start.week","End.Week","State","Sex","Age.group","COVID.19.Deaths","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths","Pneumonia..Influenza..or.COVID.19.Deaths","Footnote"
"22","07/22/2020","02/01/2020","07/11/2020","United States","Male","75-84 years",18734,184841,21136,8599,719,31878,""
"23","07/22/2020","02/01/2020","07/11/2020","United States","Male","85 years and over",16581,172964,18808,7092,552,28767,""
"24","07/22/2020","02/01/2020","07/11/2020","United States","Male","All ages",69675,762153,75280,31341,3374,116391,""
"25","07/22/2020","02/01/2020","07/11/2020","United States","Female","Under 1 year",5,3561,25,0,6,36,""
"26","07/22/2020","02/01/2020","07/11/2020","United States","Female","1-4 years",5,641,26,1,16,46,""
"27","07/22/2020","02/01/2020","07/11/2020","United States","Female","5-14 years",3,970,38,0,28,69,""
"28","07/22/2020","02/01/2020","07/11/2020","United States","Female","15-24 years",68,3845,114,25,24,180,""
"29","07/22/2020","02/01/2020","07/11/2020","United States","Female","25-34 years",295,9165,410,128,73,646,""
"30","07/22/2020","02/01/2020","07/11/2020","United States","Female","35-44 years",719,14992,880,307,113,1399,""
"31","07/22/2020","02/01/2020","07/11/2020","United States","Female","45-54 years",1996,30397,2391,870,233,3718,""
"32","07/22/2020","02/01/2020","07/11/2020","United States","Female","55-64 years",5425,72817,6816,2546,523,10149,""
"33","07/22/2020","02/01/2020","07/11/2020","United States","Female","65-74 years",10308,121133,11981,4699,632,18142,""
"34","07/22/2020","02/01/2020","07/11/2020","United States","Female","75-84 years",15664,170885,16851,6790,727,26367,""
"35","07/22/2020","02/01/2020","07/11/2020","United States","Female","85 years and over",26082,276088,24012,9520,803,41291,""
"36","07/22/2020","02/01/2020","07/11/2020","United States","Female","All ages",60570,704494,63544,24886,3178,102043,""
"37","07/22/2020","02/01/2020","07/11/2020","United States","Unknown","All ages",5,76,5,4,1,7,""
"38","07/22/2020","02/01/2020","07/11/2020","United States Total","All","All Ages",130250,1466723,138829,56231,6553,218441,""
"39","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","Under 1 year",0,83,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"40","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","1-4 years",0,19,0,0,0,0,""
"41","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","5-14 years",0,34,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"42","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","15-24 years",0,224,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"43","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","25-34 years",NA,384,10,NA,NA,17,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"44","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","35-44 years",NA,553,29,NA,NA,34,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"45","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","45-54 years",53,1016,49,15,NA,93,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"46","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","55-64 years",99,2342,154,28,15,240,""
"47","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","65-74 years",173,3140,245,54,15,379,""
"48","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","75-84 years",180,3252,275,54,NA,408,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"49","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","85 years and over",129,2332,191,45,NA,281,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"50","07/22/2020","02/01/2020","07/11/2020","Alabama","Male","All ages",651,13379,955,205,56,1456,""
"51","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","Under 1 year",0,54,0,0,0,0,""
"52","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","1-4 years",0,16,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"53","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","5-14 years",0,18,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"54","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","15-24 years",0,76,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"55","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","25-34 years",NA,175,NA,NA,NA,11,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"56","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","35-44 years",16,324,14,NA,NA,28,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"57","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","45-54 years",33,674,39,NA,NA,70,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"58","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","55-64 years",82,1555,141,17,NA,214,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"59","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","65-74 years",146,2404,166,48,12,276,""
"60","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","75-84 years",154,3239,233,55,NA,337,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"61","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","85 years and over",179,3937,218,53,NA,346,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"62","07/22/2020","02/01/2020","07/11/2020","Alabama","Female","All ages",614,12472,823,187,39,1287,""
"63","07/22/2020","02/01/2020","07/11/2020","Alabama","Unknown","All ages",0,0,0,0,0,0,""
"64","07/22/2020","02/01/2020","07/11/2020","Alabama Total","All","All Ages",1265,25851,1778,392,95,2743,""
"65","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","Under 1 year",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"66","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"67","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","5-14 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"68","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","15-24 years",0,36,0,0,0,0,""
"69","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","25-34 years",0,47,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"70","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","35-44 years",0,47,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"71","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","45-54 years",0,77,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"72","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","55-64 years",0,203,10,0,0,10,""
"73","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","65-74 years",NA,243,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"74","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","75-84 years",NA,250,13,NA,NA,15,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"75","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","85 years and over",NA,147,10,0,NA,13,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"76","07/22/2020","02/01/2020","07/11/2020","Alaska","Male","All ages",NA,1069,42,NA,NA,48,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"77","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","Under 1 year",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"78","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","1-4 years",0,NA,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"79","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","5-14 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"80","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","15-24 years",0,17,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"81","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","25-34 years",NA,31,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"82","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","35-44 years",0,39,0,0,0,0,""
"83","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","45-54 years",NA,51,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"84","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","55-64 years",NA,121,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"85","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","65-74 years",NA,180,12,NA,NA,14,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"86","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","75-84 years",NA,160,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"87","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","85 years and over",0,195,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"88","07/22/2020","02/01/2020","07/11/2020","Alaska","Female","All ages",NA,807,38,NA,NA,43,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"89","07/22/2020","02/01/2020","07/11/2020","Alaska","Unknown","All ages",0,0,0,0,0,0,""
"90","07/22/2020","02/01/2020","07/11/2020","Alaska Total","All","All Ages",11,1876,80,NA,NA,91,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"91","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","Under 1 year",0,105,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"92","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","1-4 years",NA,33,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"93","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","5-14 years",NA,36,NA,NA,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"94","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","15-24 years",NA,368,NA,NA,NA,12,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"95","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","25-34 years",29,622,23,15,NA,38,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"96","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","35-44 years",47,744,41,25,NA,65,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"97","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","45-54 years",109,1194,102,61,NA,154,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"98","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","55-64 years",219,2589,259,123,13,368,""
"99","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","65-74 years",294,3971,432,176,14,564,""
"100","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","75-84 years",378,4693,526,218,12,698,""
"101","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","85 years and over",305,3980,381,153,10,543,""
"102","07/22/2020","02/01/2020","07/11/2020","Arizona","Male","All ages",1391,18335,1775,776,61,2451,""
"103","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","Under 1 year",0,76,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"104","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","1-4 years",0,25,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"105","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","5-14 years",0,28,0,0,0,0,""
"106","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","15-24 years",NA,119,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"107","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","25-34 years",11,286,17,NA,NA,24,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"108","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","35-44 years",26,348,24,14,NA,39,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"109","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","45-54 years",49,633,61,26,NA,89,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"110","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","55-64 years",131,1591,170,72,10,239,""
"111","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","65-74 years",221,2817,300,133,16,404,""
"112","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","75-84 years",278,4014,407,156,10,539,""
"113","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","85 years and over",333,5430,420,157,NA,604,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"114","07/22/2020","02/01/2020","07/11/2020","Arizona","Female","All ages",1052,15367,1408,566,53,1947,""
"115","07/22/2020","02/01/2020","07/11/2020","Arizona","Unknown","All ages",0,0,0,0,0,0,""
"116","07/22/2020","02/01/2020","07/11/2020","Arizona Total","All","All Ages",2443,33702,3183,1342,114,4398,""
"117","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","Under 1 year",0,67,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"118","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","1-4 years",0,16,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"119","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","5-14 years",0,18,0,0,0,0,""
"120","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","15-24 years",NA,134,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"121","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","25-34 years",NA,230,NA,0,NA,15,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"122","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","35-44 years",NA,314,18,NA,NA,22,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"123","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","45-54 years",17,561,29,NA,NA,40,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"124","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","55-64 years",40,1391,102,18,12,136,""
"125","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","65-74 years",41,1984,135,28,11,159,""
"126","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","75-84 years",54,2012,161,23,NA,199,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"127","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","85 years and over",31,1420,124,13,NA,144,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"128","07/22/2020","02/01/2020","07/11/2020","Arkansas","Male","All ages",192,8147,582,93,41,722,""
"129","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","Under 1 year",NA,37,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"130","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","1-4 years",0,11,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"131","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","5-14 years",0,11,0,0,0,0,""
"132","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","15-24 years",NA,48,NA,NA,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"133","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","25-34 years",NA,118,NA,NA,0,11,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"134","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","35-44 years",NA,206,10,NA,NA,17,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"135","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","45-54 years",NA,403,31,NA,NA,37,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"136","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","55-64 years",17,859,72,10,NA,85,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"137","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","65-74 years",17,1420,96,NA,10,115,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"138","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","75-84 years",40,1846,119,13,NA,151,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"139","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","85 years and over",75,2399,147,16,NA,214,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"140","07/22/2020","02/01/2020","07/11/2020","Arkansas","Female","All ages",170,7358,487,56,35,636,""
"141","07/22/2020","02/01/2020","07/11/2020","Arkansas","Unknown","All ages",0,0,0,0,0,0,""
"142","07/22/2020","02/01/2020","07/11/2020","Arkansas Total","All","All Ages",362,15505,1069,149,76,1358,""
"143","07/22/2020","02/01/2020","07/11/2020","California","Male","Under 1 year",0,447,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"144","07/22/2020","02/01/2020","07/11/2020","California","Male","1-4 years",0,86,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"145","07/22/2020","02/01/2020","07/11/2020","California","Male","5-14 years",0,128,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"146","07/22/2020","02/01/2020","07/11/2020","California","Male","15-24 years",NA,1178,25,NA,NA,31,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"147","07/22/2020","02/01/2020","07/11/2020","California","Male","25-34 years",49,2232,73,27,NA,104,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"148","07/22/2020","02/01/2020","07/11/2020","California","Male","35-44 years",141,2835,183,76,10,258,""
"149","07/22/2020","02/01/2020","07/11/2020","California","Male","45-54 years",340,4897,423,183,33,613,""
"150","07/22/2020","02/01/2020","07/11/2020","California","Male","55-64 years",675,10774,990,381,71,1355,""
"151","07/22/2020","02/01/2020","07/11/2020","California","Male","65-74 years",974,14997,1630,561,63,2105,""
"152","07/22/2020","02/01/2020","07/11/2020","California","Male","75-84 years",986,16670,1931,597,57,2377,""
"153","07/22/2020","02/01/2020","07/11/2020","California","Male","85 years and over",894,18153,1892,477,52,2361,""
"154","07/22/2020","02/01/2020","07/11/2020","California","Male","All ages",4066,72397,7158,2304,304,9223,""
"155","07/22/2020","02/01/2020","07/11/2020","California","Female","Under 1 year",0,327,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"156","07/22/2020","02/01/2020","07/11/2020","California","Female","1-4 years",0,57,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"157","07/22/2020","02/01/2020","07/11/2020","California","Female","5-14 years",0,98,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"158","07/22/2020","02/01/2020","07/11/2020","California","Female","15-24 years",NA,374,15,NA,NA,20,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"159","07/22/2020","02/01/2020","07/11/2020","California","Female","25-34 years",15,805,38,NA,10,57,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"160","07/22/2020","02/01/2020","07/11/2020","California","Female","35-44 years",54,1328,94,30,10,128,""
"161","07/22/2020","02/01/2020","07/11/2020","California","Female","45-54 years",129,2758,229,71,22,309,""
"162","07/22/2020","02/01/2020","07/11/2020","California","Female","55-64 years",269,6288,547,153,46,709,""
"163","07/22/2020","02/01/2020","07/11/2020","California","Female","65-74 years",493,10314,981,281,48,1241,""
"164","07/22/2020","02/01/2020","07/11/2020","California","Female","75-84 years",764,14971,1460,424,69,1869,""
"165","07/22/2020","02/01/2020","07/11/2020","California","Female","85 years and over",1306,26604,2321,650,63,3040,""
"166","07/22/2020","02/01/2020","07/11/2020","California","Female","All ages",3034,63924,5694,1617,273,7384,""
"167","07/22/2020","02/01/2020","07/11/2020","California","Unknown","All ages",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"168","07/22/2020","02/01/2020","07/11/2020","California Total","All","All Ages",7100,136322,12852,3921,577,16607,""
"169","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","Under 1 year",0,85,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"170","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","1-4 years",0,13,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"171","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","5-14 years",0,32,0,0,0,0,""
"172","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","15-24 years",NA,233,NA,NA,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"173","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","25-34 years",NA,455,10,NA,0,12,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"174","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","35-44 years",15,535,25,NA,NA,36,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"175","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","45-54 years",56,811,56,30,NA,88,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"176","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","55-64 years",115,1657,146,56,10,215,""
"177","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","65-74 years",198,2371,266,117,10,357,""
"178","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","75-84 years",259,2554,302,151,NA,414,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"179","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","85 years and over",266,2482,254,127,10,401,""
"180","07/22/2020","02/01/2020","07/11/2020","Colorado","Male","All ages",919,11228,1063,494,47,1533,""
"181","07/22/2020","02/01/2020","07/11/2020","Colorado","Female","Under 1 year",0,78,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"182","07/22/2020","02/01/2020","07/11/2020","Colorado","Female","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"183","07/22/2020","02/01/2020","07/11/2020","Colorado","Female","5-14 years",0,16,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"184","07/22/2020","02/01/2020","07/11/2020","Colorado","Female","15-24 years",NA,79,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"185","07/22/2020","02/01/2020","07/11/2020","Colorado","Female","25-34 years",NA,162,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"186","07/22/2020","02/01/2020","07/11/2020","Colorado","Female","35-44 years",NA,234,11,NA,NA,18,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
